FECHA	HORA	SO2	NO	NO2	NOx	O3
23/01/2023	09	6	55	51	135	5
23/01/2023	10	4	19	31	60	25
23/01/2023	11	3	3	7	12	60
23/01/2023	12	3	2	3	6	73
23/01/2023	13	3	2	6	10	69
23/01/2023	14	3	2	8	12	68
23/01/2023	15	3	3	14	18	62
23/01/2023	16	3	4	19	24	55
23/01/2023	17	3	3	29	34	39
23/01/2023	18	3	3	35	39	32
23/01/2023	19	3	7	55	66	4
23/01/2023	20	3	8	54	67	4
23/01/2023	21	3	13	53	73	3
23/01/2023	22	3	6	39	47	14
23/01/2023	23	3	4	29	35	18
24/01/2023	00	3	1	10	12	41
24/01/2023	01	3	2	16	19	32
24/01/2023	02	3	2	8	11	41
24/01/2023	03	3	1	5	8	45
24/01/2023	04	3	2	4	7	51
24/01/2023	05	3	2	6	9	48
24/01/2023	06	3	3	12	16	42
24/01/2023	07	3	3	24	29	27
24/01/2023	08	3	9	38	52	11
24/01/2023	09	4	11	31	48	18
24/01/2023	10	3	7	18	29	35
24/01/2023	11	3	3	9	14	52
24/01/2023	12	3	3	6	10	60
24/01/2023	13	3	2	4	7	66
24/01/2023	14	3	2	5	8	66
24/01/2023	15	3	2	6	9	66
24/01/2023	16	3	2	5	8	70
24/01/2023	17	3	2	6	9	67
24/01/2023	18	3	1	12	14	57
24/01/2023	19	3	2	28	31	35
24/01/2023	20	3	3	35	39	22
24/01/2023	21	3	2	30	33	23
24/01/2023	22	3	12	44	62	7
24/01/2023	23	4	3	27	31	18
25/01/2023	00	5	2	14	17	33
25/01/2023	01	4	2	8	12	41
25/01/2023	02	4	2	7	10	38
25/01/2023	03	4	2	5	7	40
25/01/2023	04	4	2	5	8	40
25/01/2023	05	4	2	8	11	37
25/01/2023	06	4	3	14	19	31
25/01/2023	07	5	11	30	46	14
25/01/2023	08	5	45	45	114	2
25/01/2023	09	3	34	44	96	5
25/01/2023	10	3	14	33	56	13
25/01/2023	11	3	10	25	40	27
25/01/2023	12	3	3	8	13	60
25/01/2023	13	3	2	6	9	71
25/01/2023	14	3	2	4	7	75
25/01/2023	15	3	2	4	7	79
25/01/2023	16	3	2	6	9	75
25/01/2023	17	3	2	15	17	61
25/01/2023	18	3	11	49	66	15
25/01/2023	19	3	19	57	86	4
25/01/2023	20	3	46	61	131	3
25/01/2023	21	3	29	57	101	4
25/01/2023	22	3	16	51	76	4
25/01/2023	23	3	7	31	41	21
26/01/2023	00	3	2	4	7	62
26/01/2023	01	3	2	5	8	56
26/01/2023	02	3	2	9	12	46
26/01/2023	03	3	2	8	10	44
26/01/2023	04	3	2	11	14	38
26/01/2023	05	4	2	14	17	33
26/01/2023	06	5	3	27	32	18
26/01/2023	07	5	17	42	67	3
26/01/2023	08	3	29	44	88	3
26/01/2023	09	3	38	42	100	6
26/01/2023	10	3	27	37	79	16
26/01/2023	11	3	19	32	62	25
26/01/2023	12	3	9	21	35	39
26/01/2023	13	3	4	13	19	57
26/01/2023	14	3	4	12	18	59
26/01/2023	15	3	4	11	17	61
26/01/2023	16	3	3	12	16	63
26/01/2023	17	3	4	26	31	46
26/01/2023	18	3	3	42	47	21
26/01/2023	19	3	17	57	83	3
26/01/2023	20	3	51	61	139	3
26/01/2023	21	3	69	64	169	3
26/01/2023	22	3	49	55	131	4
26/01/2023	23	3	9	43	57	6
27/01/2023	00	3	3	29	33	15
27/01/2023	01	3	2	16	19	31
27/01/2023	02	3	2	10	13	42
27/01/2023	03	3	2	18	21	32
27/01/2023	04	3	2	24	28	25
27/01/2023	05	3	2	30	33	20
27/01/2023	06	4	10	42	57	6
27/01/2023	07	4	33	50	100	3
27/01/2023	08	7	86	59	190	2
27/01/2023	09	6	50	51	127	6
27/01/2023	10	4	25	40	78	16
27/01/2023	11	3	14	29	50	30
27/01/2023	12	3	5	14	22	51
27/01/2023	13	3	8	22	33	50
27/01/2023	14	3	6	18	26	57
27/01/2023	15	3	4	15	22	65
27/01/2023	16	3	4	21	27	57
27/01/2023	17	3	2	18	21	61
27/01/2023	18	3	2	27	30	45
27/01/2023	19	3	2	42	45	24
27/01/2023	20	3	2	41	44	22
27/01/2023	21	3	2	25	28	36
27/01/2023	22	3	2	18	21	40
27/01/2023	23	3	2	24	27	35
28/01/2023	00	3	2	20	23	38
28/01/2023	01	3	2	8	10	56
28/01/2023	02	3	2	5	8	59
28/01/2023	03	3	2	4	6	62
28/01/2023	04	3	2	4	6	62
28/01/2023	05	3	2	4	7	57
28/01/2023	06	3	2	7	10	54
28/01/2023	07	3	2	16	19	42
28/01/2023	08	4	3	21	25	31
28/01/2023	09	4	7	24	35	31
28/01/2023	10	3	7	20	30	40
28/01/2023	11	3	6	15	25	50
28/01/2023	12	3	4	10	16	63
28/01/2023	13	3	4	13	19	64
28/01/2023	14	3	4	12	18	65
28/01/2023	15	3	3	8	13	73
28/01/2023	16	3	3	7	10	78
28/01/2023	17	3	2	6	8	81
28/01/2023	18	3	2	13	15	67
28/01/2023	19	3	2	22	25	47
28/01/2023	20	3	2	35	38	27
28/01/2023	21	3	2	26	29	38
28/01/2023	22	3	2	28	32	31
28/01/2023	23	3	4	41	47	12
29/01/2023	00	3	3	30	34	20
29/01/2023	01	3	3	31	36	14
29/01/2023	02	3	2	24	28	20
29/01/2023	03	3	2	10	12	40
29/01/2023	04	3	2	8	10	43
29/01/2023	05	3	2	9	11	41
29/01/2023	06	3	2	8	11	44
29/01/2023	07	3	2	8	10	43
29/01/2023	08	3	2	14	17	36
29/01/2023	09	3	4	14	20	37
29/01/2023	10	3	3	9	15	47
29/01/2023	11	3	3	9	14	50
29/01/2023	12	3	2	6	10	58
29/01/2023	13	3	2	5	8	66
29/01/2023	14	3	2	4	6	69
29/01/2023	15	3	2	3	6	70
29/01/2023	16	3	2	3	6	69
29/01/2023	17	3	2	4	7	67
29/01/2023	18	3	1	6	9	61
29/01/2023	19	3	2	12	14	49
29/01/2023	20	3	2	23	27	32
29/01/2023	21	3	2	20	22	36
29/01/2023	22	3	2	20	23	34
29/01/2023	23	3	2	13	16	42
30/01/2023	00	3	2	12	14	42
30/01/2023	01	3	2	14	17	31
30/01/2023	02	3	2	10	13	35
30/01/2023	03	3	2	5	8	40
30/01/2023	04	3	2	4	7	45
30/01/2023	05	3	1	6	8	46
30/01/2023	06	3	4	13	19	37
30/01/2023	07	3	4	26	32	21
30/01/2023	08	4	15	38	60	9
30/01/2023	09	6	30	39	84	9
30/01/2023	10	4	10	20	35	29
30/01/2023	11	3	8	16	28	39
30/01/2023	12	3	15	29	51	32
30/01/2023	13	3	8	19	31	42
30/01/2023	14	3	5	14	21	50
30/01/2023	15	3	4	14	20	59
30/01/2023	16	3	5	21	29	50
30/01/2023	17	3	3	20	24	55
30/01/2023	18	3	2	23	27	50
30/01/2023	19	3	2	26	28	39
30/01/2023	20	3	3	28	33	31
30/01/2023	21	3	4	35	41	21
30/01/2023	22	3	4	40	46	12
30/01/2023	23	3	2	29	33	18
31/01/2023	00	3	2	20	23	25
31/01/2023	01	3	2	22	25	18
31/01/2023	02	3	2	18	21	23
31/01/2023	03	3	2	17	20	21
31/01/2023	04	4	2	15	17	28
31/01/2023	05	4	2	19	22	18
31/01/2023	06	6	3	20	25	15
31/01/2023	07	7	23	33	67	3
31/01/2023	08	8	79	46	168	2
31/01/2023	09	7	65	48	147	4
31/01/2023	10	5	57	48	135	9
31/01/2023	11	3	22	36	69	23
31/01/2023	12	3	7	21	32	47
31/01/2023	13	3	7	20	30	56
31/01/2023	14	3	4	15	21	65
31/01/2023	15	3	3	13	17	69
