FECHA	HORA	NH3	SO2	NO	NO2	NOx	O3
22/01/2023	13	2	4	2	1	3	
22/01/2023	14	3	3	2	1	4	
22/01/2023	15	3	4	2	2	5	
22/01/2023	16	3	4	2	5	8	
22/01/2023	17	3	4	3	12	16	
22/01/2023	18	2	4	2	19	23	
22/01/2023	19	3	4	2	16	19	
22/01/2023	20	2	4	1	7	8	
22/01/2023	21	2	5	1	6	7	
22/01/2023	22	2	6	1	5	5	
22/01/2023	23	2	6	1	4	5	
23/01/2023	00	2	7	1	3	4	
23/01/2023	01	1	7	1	5	5	
23/01/2023	02	1	7	1	5	5	
23/01/2023	03	1	7	1	4	5	
23/01/2023	04	1	6	1	5	5	
23/01/2023	05	1	6				27
23/01/2023	06	1	7	14	43	65	1
23/01/2023	07	2	3	39	53	112	2
23/01/2023	08	2	3	55	55	139	1
23/01/2023	09	2	3	47	52	123	5
23/01/2023	10	2	3	21	33	65	22
23/01/2023	11	2	3	6	13	22	49
23/01/2023	12	3	3	5	9	17	58
23/01/2023	13	5	3	6	12	22	62
23/01/2023	14	4	3	6	13	22	61
23/01/2023	15	3	3	3	10	15	68
23/01/2023	16	3	3	4	13	18	67
23/01/2023	17	3	3	2	21	23	54
23/01/2023	18	2	3	1	28	29	40
23/01/2023	19	2	3				22
23/01/2023	20	2	3	18	55	83	4
23/01/2023	21	2	3	20	58	89	3
23/01/2023	22	2	3	35	60	114	2
23/01/2023	23	2	3	32	51	99	1
24/01/2023	00	3	3	3	39	44	3
24/01/2023	01	2	3				15
24/01/2023	02	2	3				44
24/01/2023	03	1	3				49
24/01/2023	04	1	3				51
24/01/2023	05	1	3				39
24/01/2023	06	1	3				36
24/01/2023	07	2	3	5	31	39	22
24/01/2023	08	2	3	9	36	49	16
24/01/2023	09	2	3	10	27	42	25
24/01/2023	10	1	3	7	19	31	35
24/01/2023	11	2	3	6	14	22	45
24/01/2023	12	3	3	6	12	21	53
24/01/2023	13	3	3	7	11	22	56
24/01/2023	14	4	3	7	12	22	59
24/01/2023	15	4	3	5	12	20	59
24/01/2023	16	5	3	6	13	22	61
24/01/2023	17	4	3	9	21	34	53
24/01/2023	18	5	3	12	28	47	41
24/01/2023	19	3	3	11	42	59	23
24/01/2023	20	4	3	16	52	76	7
24/01/2023	21	2	3	29	56	100	2
24/01/2023	22	2	3	6	43	53	3
24/01/2023	23	2	3	1	27	28	18
25/01/2023	00	2	3				39
25/01/2023	01	2	3	1	12	12	36
25/01/2023	02	2	3				32
25/01/2023	03	1	3				26
25/01/2023	04	1	3				31
25/01/2023	05	2	3	2	19	21	24
25/01/2023	06	1	3	8	34	45	3
25/01/2023	07	2	3	19	42	70	1
25/01/2023	08	2	3	30	44	90	3
25/01/2023	09	2	3	24	41	78	5
25/01/2023	10	2	3	7	28	38	22
25/01/2023	11	3	3	7	23	34	36
25/01/2023	12	3	3	6	16	27	47
25/01/2023	13	5	3	6	12	21	62
25/01/2023	14	5	3	7	15	27	62
25/01/2023	15	5	3	5	13	20	70
25/01/2023	16	6	3	6	21	29	60
25/01/2023	17	5	3	7	27	39	47
25/01/2023	18	6	3	5	43	51	21
25/01/2023	19	5	3	15	57	79	2
25/01/2023	20	3	3	47	60	132	3
25/01/2023	21	4	3	22	56	90	2
25/01/2023	22	3	3	9	48	63	4
25/01/2023	23	2	3	2	33	35	16
26/01/2023	00	2	3	1	6	6	57
26/01/2023	01	2	3	1	9	9	42
26/01/2023	02	2	3	1	11	11	42
26/01/2023	03	2	3				46
26/01/2023	04	2	3				38
26/01/2023	05	2	3				12
26/01/2023	06	2	3	7	31	41	15
26/01/2023	07	2	3	12	42	60	5
26/01/2023	08	2	3	15	39	61	6
26/01/2023	09	2	3	43	43	109	7
26/01/2023	10	3	3	14	28	50	25
26/01/2023	11	4	3	15	26	49	31
26/01/2023	12	5	3	13	21	40	40
26/01/2023	13	5	3	7	13	24	57
26/01/2023	14	6	3	7	12	23	62
26/01/2023	15	6	3	7	10	20	68
26/01/2023	16	5	3	5	11	19	66
26/01/2023	17	5	3	6	16	25	62
26/01/2023	18	4	3	11	43	60	25
26/01/2023	19	6	3	26	49	89	8
26/01/2023	20	4	3	97	66	214	1
26/01/2023	21	3	3	72	59	168	2
